出表日期,交易日期,權證代號,權證名稱,成交金額,成交數量
"1150529","1150529","050883","道瓊銀中信61購02","3270.00","11000"
"1150529","1150529","050888","華航中信57購01","0.00","0"
"1150529","1150529","050884","第一銅中信5A購01","0.00","0"
"1150529","1150529","050908","力積電兆豐59購01","0.00","0"
"1150529","1150529","050889","大立光中信5A購01","12870.00","8000"
"1150529","1150529","050887","京元電中信61購01","0.00","0"
"1150529","1150529","050893","南茂中信57購01","0.00","0"
"1150529","1150529","050892","矽格中信5A購01","0.00","0"
"1150529","1150529","054206","上銀兆豐61購01","0.00","0"
"1150529","1150529","054205","士電兆豐59購01","26600.00","60000"
"1150529","1150529","054209","旭隼兆豐61購01","4620.00","11000"
"1150529","1150529","058765","華城中信59購02","3300.00","11000"
"1150529","1150529","058768","臺股指中信5C購09","1691570.00","427000"
"1150529","1150529","058767","長榮航中信59購01","394600.00","671000"
"1150529","1150529","058762","台灣50中信63購02","2303540.00","913000"
"1150529","1150529","058766","中鋼中信59購01","37980.00","68000"
"1150529","1150529","058763","T50反1中信69購01","99540.00","255000"
"1150529","1150529","058764","台化中信59購01","102130.00","187000"
"1150529","1150529","058873","光寶科兆豐63購02","132000.00","40000"
"1150529","1150529","058872","台灣50兆豐63購01","28600.00","10000"
"1150529","1150529","058876","亞光兆豐5B購01","30600.00","30000"
"1150529","1150529","059031","台灣50兆豐63購02","606550.00","236000"
"1150529","1150529","059006","德律中信59購01","28120.00","11000"
"1150529","1150529","059003","漢唐中信59購01","229060.00","404000"
"1150529","1150529","059009","愛普中信61購01","4240.00","1000"
"1150529","1150529","059004","新興中信61購01","1750.00","5000"
"1150529","1150529","059008","台塑化中信59購01","5200.00","40000"
"1150529","1150529","059001","SGBR2X中信63購01","0.00","0"
"1150529","1150529","059000","元油反中信63購01","0.00","0"
"1150529","1150529","059010","至上中信61購01","1384300.00","1613000"
"1150529","1150529","059005","奇鋐中信59購02","982270.00","562000"
"1150529","1150529","059002","南亞中信59購02","99770.00","141000"
"1150529","1150529","059007","健策中信61購01","41360.00","44000"
"1150529","1150529","059226","元石油中信63購02","440.00","1000"
"1150529","1150529","059228","祥碩中信59購01","52280.00","69000"
"1150529","1150529","059227","景碩中信61購01","10650.00","3000"
"1150529","1150529","062882","台泥兆豐64購01","475680.00","409000"
"1150529","1150529","062875","臻鼎中信64購01","43800.00","10000"
"1150529","1150529","062874","元油反中信64購01","14800.00","30000"
"1150529","1150529","062873","T50正2中信64購03","22500.00","10000"
